,id,comment,author,likecount,publishedAt
41,UgzjZTscQce43Zr4i2l4AaABAg,Настоящий Corpse Reviver был в фильме Назад в будущее 3. Интересно было бы его приготовить),Ариф Шахвердиев,2,2021-07-06T09:29:30Z
42,Ugz-c0SLR2mm96RbHHN4AaABAg,"Отдельный лайк за Кай Метова))
Позишн намбер ван, говоришь - не дам!!",TheCheat002,1,2021-07-06T09:24:50Z
43,Ugy-VpbIwKu-ISxYmIB4AaABAg,Ставлю лайк 'дню через жопу' Виталика в качестве моральной поддержки.,Анастасия Кошакова,0,2021-07-06T09:24:30Z
44,Ugy2yo66uNUa_28SlpJ4AaABAg,"Мы все иногда ""Виталик"".",bo1d,2,2021-07-06T09:19:32Z
45,UgykLWzI4hozJf6slgd4AaABAg,Может быть вернуть еду на канал и немного откормить Виталика?,Стас c c,1,2021-07-06T09:19:11Z
46,Ugw2DR2Y7wyYRmSVTth4AaABAg,"Евграф, давай сделаем вид, что я написала какую-то гадость, а ты мне шейк посвятишь?",Анастасия Кошакова,2,2021-07-06T09:17:20Z
47,Ugwfd0jWMmuXRonEdtB4AaABAg,"Каждый раз когда Евграф шейкует, я переживаю, что у него брови съебутся на лоб",Andrew Smirnov,0,2021-07-06T09:14:48Z
48,Ugx-9YpWNb74D-Yetk14AaABAg,"Кайфовый тройной джиггер, маэстро)
Custom bar? Удобнее классического?(в плане использования, основной плюс очевиден)",Jason Conandoyle,0,2021-07-06T09:14:33Z
49,UgwRpdttwHBuoThaJPJ4AaABAg,Виталик dead inside?,Max P,0,2021-07-06T09:13:57Z
50,UgzhVs8rQKC-LY1nsjB4AaABAg,"Мне нравится что у Виталика и Евграфа диаметрально противоположные вкусовые ощущения от коктейлей и тебе как зрителю вообще ни хрена не понятно какой там вкус, какой аромат, стоит тебе делать коктейль или нет))",Alex Shabad,0,2021-07-06T09:04:37Z
51,Ugy1sXqvsCnYcwtlOxN4AaABAg,проснулся дома после  бурной ночи и пошёл сразу делать оживителя :)) любые ингредиенты ведь всегда под рукой,Refrigineer,2,2021-07-06T09:04:34Z
