,id,comment,author,likecount,publishedAt
60,UgwIE4eN2YcPRaivHh94AaABAg,"Я думал, это у меня залагало и вылетело. Прекращай. Хотя нет, продолжай.",мох болотный,25,2021-07-03T15:39:56Z
61,UgwpQyL_dNcnWCMMCvV4AaABAg,"Ого, geneburn в конце. Круто!",Bunta Fujiwara,8,2021-07-03T15:32:54Z
62,UgyHIyG1F8ebWn5a_ah4AaABAg,"Ха-ха  шутишь, эт хорошо, значит жить будешь",Лебедев,70,2021-07-03T15:28:29Z
63,Ugw7tMvMBqZ7WTtc04N4AaABAg,oh yea that's the stuff,HU 4L,0,2021-07-03T15:22:57Z
64,UgyMCaVuHPyYUinJoiF4AaABAg,Что это? Музыка из таркова в конце? Ну так сделай по нему ведос,Каво?,1,2021-07-03T15:17:28Z
65,UgwiJ6BeThyUBuWMzXx4AaABAg,Nikolai?,Монолит,0,2021-07-03T15:02:53Z
66,Ugy0F7GelnSt3RyVbud4AaABAg,"It was worth all the waiting time, another masterpiece. Thank you, Vasyan <3",WounderWaffle,6,2021-07-03T14:53:04Z
67,UgybUn_pyKR5TZxLfPB4AaABAg,За пэйдей спасибо!,Дима Никитин,0,2021-07-03T14:47:55Z
68,UgzFdXJsLQtja9iirCt4AaABAg,"oh god thank you, new sdalger video...",George Tsiros,1,2021-07-03T14:35:15Z
69,UgzUIozJRzQF-7kpAt54AaABAg,"you make great videos, niceeeeeeeeeeeeeeeeeeeeeeeeeeee",stalker,0,2021-07-03T14:32:45Z
70,UgySZNRT2F9lDArGxcJ4AaABAg,https://www.youtube.com/watch?v=0xN9X2erSyI&t=221s,Ysera,1,2021-07-03T14:22:12Z
71,UgyGtX_wpP8gfGxR4sN4AaABAg,Did not expect to see a reference to MLG Antivirus,jλcob,1,2021-07-03T14:15:54Z
72,UgxtAUgnhfFSAnzqYVV4AaABAg,Nikolai 2.0 🤔,_6eckoHe4Hoe_JleTo_,0,2021-07-03T14:13:46Z
73,UgwijJf3eZYaqiZHwbt4AaABAg,Ооо годноста подкатила,Nikolai,0,2021-07-03T14:04:35Z
74,Ugwli_WlMRaZP1kkNEd4AaABAg,Opa opa! New Solyanka video! Instant click!,Fried Yzostas,0,2021-07-03T13:59:58Z
75,UgxlaGNq7_l6ygdEKqJ4AaABAg,"Of all the places I expected to hear Markorepairs's voice, a STALKER shitpost was not one of them.",We'llAlwaysHave VALIS,12,2021-07-03T13:49:29Z
76,UgyUaZrhd3V7HSpfKC54AaABAg,В любой непонятной ситуации: вставляй жука,U S S R,1,2021-07-03T13:43:14Z
77,UgyTWwnlpUy834p2PgZ4AaABAg,Чет уже как то без огонька(,Andrei Belov,0,2021-07-03T13:39:09Z
78,UgxjYJax5uZzOlVOTK14AaABAg,"This man gives me dopamine when he uploads, its like stalker 2 for me.",what,6,2021-07-03T13:30:21Z
79,Ugz6A2EJU55a0XMIAxd4AaABAg,Абоба абобаба )) ура сталкер вышел,Vinyl Scratch,0,2021-07-03T13:29:24Z
80,UgwDj7Hdu1P1R9rI76l4AaABAg,"> sí, si quiero.",M4ntequilla,0,2021-07-03T13:22:42Z
81,UgwYRhBJCW4_j7MZh394AaABAg,Nice video),Nazgul,0,2021-07-03T13:22:06Z
